                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.51651,                0.75235,                0.95581,                0.93941,                0.99719,                  0.995,                0.88187,                0.53199,                0.89393,                 1.0159,             0.00074282,             0.00074282,             0.00074282
                     58,                0.48825,                0.68834,                 1.0298,                0.96634,                      1,                  0.995,                0.88871,                0.49719,                 0.8897,                0.98953,             0.00072631,             0.00072631,             0.00072631
                     59,                0.82204,                0.73187,                 1.1925,                0.97539,                      1,                  0.995,                0.85274,                0.48841,                0.86127,                0.99121,             0.00070981,             0.00070981,             0.00070981
                     60,                 0.5557,                0.95886,                 1.0567,                0.97539,                      1,                  0.995,                0.85274,                0.48841,                0.86127,                0.99121,             0.00069331,             0.00069331,             0.00069331
                     61,                0.50092,                 1.5411,                   1.06,                0.98212,                      1,                  0.995,                0.84754,                0.53899,                0.91295,                 1.0315,              0.0006768,              0.0006768,              0.0006768
                     62,                0.75263,                 1.0223,                 1.2017,                0.97736,                      1,                  0.995,                 0.8621,                0.63148,                0.96156,                  1.137,              0.0006603,              0.0006603,              0.0006603
                     63,                 0.9479,                0.83891,                 1.4721,                0.98619,                      1,                  0.995,                0.85136,                0.64573,                0.94686,                 1.1612,              0.0006438,              0.0006438,              0.0006438
                     64,                0.60567,                0.65427,                 0.9999,                0.98619,                      1,                  0.995,                0.85136,                0.64573,                0.94686,                 1.1612,             0.00062729,             0.00062729,             0.00062729
                     65,                0.73449,                0.73077,                 1.2291,                0.98438,                      1,                  0.995,                0.87105,                0.61231,                0.87673,                 1.1004,             0.00061079,             0.00061079,             0.00061079
                     66,                0.53631,                0.75038,                 1.0193,                0.97773,                      1,                  0.995,                0.89176,                 0.5377,                0.80116,                 1.0512,             0.00059429,             0.00059429,             0.00059429
                     67,                0.55889,                0.62272,                 1.0258,                0.97978,                      1,                  0.995,                0.86025,                0.55448,                0.80201,                 1.0417,             0.00057778,             0.00057778,             0.00057778
                     68,                0.56569,                0.68551,                0.98082,                0.97978,                      1,                  0.995,                0.86025,                0.55448,                0.80201,                 1.0417,             0.00056128,             0.00056128,             0.00056128
                     69,                0.73053,                 1.1238,                 1.2329,                0.98025,                      1,                  0.995,                0.86834,                0.54126,                0.84107,                 1.0399,             0.00054478,             0.00054478,             0.00054478
                     70,                0.59027,                 0.6842,                 1.0466,                0.97913,                      1,                  0.995,                0.89457,                0.47052,                0.80179,                0.99647,             0.00052827,             0.00052827,             0.00052827
                     71,                0.47647,                0.62706,                0.99223,                0.97495,                      1,                  0.995,                 0.8889,                0.44363,                0.80543,                0.97537,             0.00051177,             0.00051177,             0.00051177
                     72,                0.90816,                 1.0797,                 1.3507,                0.97495,                      1,                  0.995,                 0.8889,                0.44363,                0.80543,                0.97537,             0.00049527,             0.00049527,             0.00049527
                     73,                  0.651,                0.66324,                 1.1401,                0.97358,                      1,                  0.995,                0.92028,                0.45963,                0.79944,                0.97956,             0.00047876,             0.00047876,             0.00047876
                     74,                0.53526,                0.86596,                0.98232,                0.97744,                      1,                  0.995,                0.90597,                0.49658,                 0.7991,                 1.0056,             0.00046226,             0.00046226,             0.00046226
                     75,                0.62084,                 0.6555,                 1.0577,                0.98218,                      1,                  0.995,                0.90293,                0.53219,                0.78761,                 1.0321,             0.00044576,             0.00044576,             0.00044576
                     76,                0.59362,                0.62906,                 1.0569,                0.98218,                      1,                  0.995,                0.90293,                0.53219,                0.78761,                 1.0321,             0.00042925,             0.00042925,             0.00042925
                     77,                0.57202,                0.61692,                 1.0468,                0.98493,                      1,                  0.995,                0.89456,                0.53658,                0.76083,                 1.0242,             0.00041275,             0.00041275,             0.00041275
                     78,                0.49417,                0.71071,                0.98446,                0.98551,                      1,                  0.995,                0.89735,                0.52956,                0.76229,                 1.0009,             0.00039625,             0.00039625,             0.00039625
                     79,                0.53194,                0.60059,                 1.0175,                0.98717,                      1,                  0.995,                0.88896,                0.51229,                0.76241,                0.99147,             0.00037974,             0.00037974,             0.00037974
                     80,                0.60324,                0.96994,                 1.1225,                0.98717,                      1,                  0.995,                0.88896,                0.51229,                0.76241,                0.99147,             0.00036324,             0.00036324,             0.00036324
                     81,                0.40564,                0.58749,                0.99095,                0.98724,                      1,                  0.995,                 0.9095,                0.50531,                0.75253,                0.99145,             0.00034674,             0.00034674,             0.00034674
                     82,                0.48226,                 0.5622,                 1.0225,                 0.9867,                      1,                  0.995,                 0.9135,                 0.4982,                0.73598,                0.99493,             0.00033023,             0.00033023,             0.00033023
                     83,                0.48273,                0.65811,                  1.055,                0.98421,                      1,                  0.995,                0.90791,                0.49667,                0.73035,                 1.0078,             0.00031373,             0.00031373,             0.00031373
                     84,                0.60574,                 1.0484,                 1.1334,                0.98421,                      1,                  0.995,                0.90791,                0.49667,                0.73035,                 1.0078,             0.00029723,             0.00029723,             0.00029723
